"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","8","To be compliant to J2EE, a webapp should not use any thread.","J2EE Rules","DoNotUseThreads"
"2","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"4","se.lnu.http","src/se/lnu/http/AcceptThread.java","2","10","Use of modifier volatile is not recommended.","Controversial Rules","AvoidUsingVolatile"
"5","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","se.lnu.http","src/se/lnu/http/AcceptThread.java","2","11","Use of modifier volatile is not recommended.","Controversial Rules","AvoidUsingVolatile"
"7","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","12","Private field 'cfactory' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"9","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","14","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"10","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","14","Parameter 'sock' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","15","Parameter 'observer' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","se.lnu.http","src/se/lnu/http/AcceptThread.java","3","16","Parameter 'cfactory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
